date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:40:47	28222/28222	---M-Z	200	added ('OK')	text/html	etag:%226e3e-618d91223911b%22	https://www.labanquepostale.fr/particulier/connexion-espace-client.html	C:/Users/HP/OneDrive/Bureau/clone%20banque%20postale/la%20banque%20postale/www.labanquepostale.fr/particulier/connexion-espace-client.html	(from )
04:40:47	674/674	---M-Z	200	added ('OK')	text/plain	etag:%227f5-5f1ec766d3e40%22	https://www.labanquepostale.fr/robots.txt		(from )
04:40:48	2343/2343	---M-Z	200	added ('OK')	text/css	etag:%22927-5ff072dfd9240%22	https://www.labanquepostale.fr/etc.clientlibs/labanquepostale/commons/clientlibs/designsystem/base-fonts.min.fbf89f738d37cd40c32a0aa2e73ba6a1.css	C:/Users/HP/OneDrive/Bureau/clone%20banque%20postale/la%20banque%20postale/www.labanquepostale.fr/etc.clientlibs/labanquepostale/commons/clientlibs/designsystem/base-fonts.min.fbf89f738d37cd40c32a0aa2e73ba6a1.css	(from https://www.labanquepostale.fr/particulier/connexion-espace-client.html)
04:40:50	314806/314806	---M-Z	200	added ('OK')	text/css	etag:%224cdb6-61774aa1df880%22	https://www.labanquepostale.fr/etc.clientlibs/labanquepostale/sitepublic/clientlibs/base.min.23389fd45b7dbabc3e82523c68f80c86.css	C:/Users/HP/OneDrive/Bureau/clone%20banque%20postale/la%20banque%20postale/www.labanquepostale.fr/etc.clientlibs/labanquepostale/sitepublic/clientlibs/base.min.23389fd45b7dbabc3e82523c68f80c86.css	(from https://www.labanquepostale.fr/particulier/connexion-espace-client.html)
04:40:53	260716/260716	---M-Z	200	added ('OK')	text/html	etag:%223fa6c-618d917e6a6be%22	https://www.labanquepostale.fr/particulier/faq-centre-aide.html	C:/Users/HP/OneDrive/Bureau/clone%20banque%20postale/la%20banque%20postale/www.labanquepostale.fr/particulier/faq-centre-aide.html	(from https://www.labanquepostale.fr/particulier/connexion-espace-client.html)
04:40:54	223327/223327	---M-Z	200	added ('OK')	text/html	etag:%223685f-618d94a2afb3d%22	https://www.labanquepostale.fr/particulier/footer/recuperation-mot-de-passe.html	C:/Users/HP/OneDrive/Bureau/clone%20banque%20postale/la%20banque%20postale/www.labanquepostale.fr/particulier/footer/recuperation-mot-de-passe.html	(from https://www.labanquepostale.fr/particulier/connexion-espace-client.html)
04:40:56	242416/242416	---M-Z	200	added ('OK')	text/html	etag:%223b2f0-618d9a8cba010%22	https://www.labanquepostale.fr/particulier/assurer/signez-electroniquement-vos-contrats.html	C:/Users/HP/OneDrive/Bureau/clone%20banque%20postale/la%20banque%20postale/www.labanquepostale.fr/particulier/assurer/signez-electroniquement-vos-contrats.html	(from https://www.labanquepostale.fr/particulier/connexion-espace-client.html)
04:40:57	324219/324219	---M-Z	200	added ('OK')	text/html	etag:%224f27b-618d9a4605582%22	https://www.labanquepostale.fr/particulier/solutions-citoyennes.html	C:/Users/HP/OneDrive/Bureau/clone%20banque%20postale/la%20banque%20postale/www.labanquepostale.fr/particulier/solutions-citoyennes.html	(from https://www.labanquepostale.fr/particulier/connexion-espace-client.html)
04:40:58	213710/213710	---M-Z	200	added ('OK')	text/html	etag:W/%22342ce-618da7806ea2d%22	https://www.labanquepostale.fr/particulier/footer/espace_sourds.html	C:/Users/HP/OneDrive/Bureau/clone%20banque%20postale/la%20banque%20postale/www.labanquepostale.fr/particulier/footer/espace_sourds.html	(from https://www.labanquepostale.fr/particulier/connexion-espace-client.html)
04:40:59	234784/234784	---M-Z	200	added ('OK')	text/html	etag:%2239520-618d98ff97bc1%22	https://www.labanquepostale.fr/particulier/localisation_bureau.html	C:/Users/HP/OneDrive/Bureau/clone%20banque%20postale/la%20banque%20postale/www.labanquepostale.fr/particulier/localisation_bureau.html	(from https://www.labanquepostale.fr/particulier/connexion-espace-client.html)
